artist	other_artist	similarity
AR6XPWV1187B9ADAEB	ARSW5F51187FB4CFC9	15
AR06EB01187FB40150	ARUSOMY1187FB4D3B4	13
AR1SQSG1187B9AC782	ARH6W4X1187B99274F	15
ARBFDJW1187B9AD27A	ART3O5Z1187B9AB043	18
ARL3VGT1187FB40E8E	ARU3YYC1187FB43FEE	15
ARD3LXU1187B9ABFC5	ARLR9U31187B9A71AD	17
AR7BMMV1187FB5B2D7	ARJ9DSA1187B990E00	16
ARE08BN1187B98FCA3	ARGR98V1187FB3A1B9	13
AROIHOI122988FEB8E	ARWLUAI11F4C840637	13
AR0KBXO1187B996460	AR65OLD1187FB5C103	13
AR02IU11187FB513F2	AR1N6N61187FB4E25E	14
ARXPPEY1187FB51DF4	ARZQ7QA1187B9AD08B	14
ARTK5LU1187B9A654C	ARWGIOC1187FB4CBEF	13
ARL3VGT1187FB40E8E	ART6QCS1187FB40CBD	17
ARODBRG1187FB3FD99	ARWA6NT1187FB3F15C	15
AR03BDP1187FB5B324	ARVBRGZ1187FB4675A	13
ARD8JVH1187FB4DA04	ARUKN9H1187B9B71C8	14
AR4B3RX1187B9A868A	ARBM57Q1187B9AF97C	13
AROIHOI122988FEB8E	ARQP63M1187B98D994	13
AR9YV621187B99373E	ARSL3N21187B98DFC5	13
AR6C8EJ1187FB3F473	ARYN8YT1187FB38396	13
ARGMTBG1187B9902AE	AROIHOI122988FEB8E	13
ARTBFV61187FB3C250	ARZVTZN1187FB579D4	13
ARECASR11EBCD79B06	AROIHOI122988FEB8E	13
ARUSOMY1187FB4D3B4	ARZWK2R1187B98F09F	15
ARCGJ6U1187FB4D01F	ARTH9041187FB43E1F	13
AR1X2H01187B98CCF2	ARJIE2Y1187B994AB7	17
ARBCUNV1187B98A9FB	ARXWAQQ1187B9AE954	14
ARD3LXU1187B9ABFC5	ARONPP01187B995FB5	14
ARDLTNJ1272BA7EAD6	AROIHOI122988FEB8E	13
ARSQDUN1187B98D7D7	ARXWAQQ1187B9AE954	16
AROIHOI122988FEB8E	ARQ0EYR1187B9B69B6	13
ARE2QID1187B98FA19	ARN7OQ21187FB5A6B3	13
ARBEOHF1187B9B044D	ARMRCET1187FB52049	13
ARKQ9JM1187FB57521	ARSQDUN1187B98D7D7	13
AR243ZT1187B9A98D2	ARFZNR41187B990AF7	13
ARLLRL61187B9B6698	ARLR9U31187B9A71AD	13
AR13CXU1187B9AD30A	ARLR9U31187B9A71AD	13
ARB2M051187FB56FA9	ARX9YIP1187B98A656	15
ARKFKQ11187FB51BE6	AROIHOI122988FEB8E	13
ARD2F1Z1187FB3D27E	ARIRD6J1187FB5A98C	13
ART5IUL1187B9B0143	ARVUN5F1187FB4CCC7	14
AR12F2S1187FB56EEF	ARASYMJ1187B9ACAF2	16
AROIHOI122988FEB8E	ARVMIQT1187B9B15D8	13
AR4EQ231187B99368F	ARVN9FZ1187FB393F1	16
ARJ7KF01187B98D717	ARVN9FZ1187FB393F1	18
ARBEOHF1187B9B044D	ARKSZW81187B9B695D	17
AR9W3X91187FB3994C	ARYNX5Z1187B999686	14
AR78ZID1187B9B31ED	ARCYQ1P1187FB3F3CA	15
AROLNOH1187FB39845	ARXWAQQ1187B9AE954	13
AR46CAD1187FB4D84B	ARIMZQZ1187B9AD541	14
ART3O5Z1187B9AB043	ART70HI1187B9A37BC	13
AROIHOI122988FEB8E	ARRD2501187B9A9FFE	13
AR804881187FB3E0E6	AROIHOI122988FEB8E	13
AROIHOI122988FEB8E	ARYZBXZ11F50C50611	13
AR4L4WQ1187FB51996	ARD3LXU1187B9ABFC5	14
ARWK5QH1187B9A9B7F	ARXPPEY1187FB51DF4	13
ARBCUNV1187B98A9FB	ARX9YIP1187B98A656	19
ARBCUNV1187B98A9FB	ARTH9041187FB43E1F	15
AR3RNXB1187B98F0B4	AROIHOI122988FEB8E	13
AR9JNFU1187B9B9868	ARQCHDN1187FB4C7C2	13
ARH6W4X1187B99274F	ARR6LWJ1187FB44C8B	15
AR6892W1187B9AC71B	ARVG4OK1187B9B6BD3	14
ARGBGC71187FB3DD0B	ARTKOGW1241B9CD42B	13
ARUTEVU1187B9ACAF9	ARVN9FZ1187FB393F1	14
ARKC83D1187B9AB367	ARR575U1187B98FB97	13
ARBHBE91187B9A1F58	ART3O5Z1187B9AB043	13
ARDLLAI1272BA876C4	AROIHOI122988FEB8E	13
ARLR9U31187B9A71AD	ARQOATR1187B9AE959	15
AREPOUG11F4C83D36C	ARGBGC71187FB3DD0B	13
AR2XI6G1187B9AE7DA	ARBCUNV1187B98A9FB	13
AR2B9041187B99F094	AROIHOI122988FEB8E	13
ARD3LXU1187B9ABFC5	ARF84A41187B9A34E7	13
ARI7DOB1187FB37AA4	ARVN9FZ1187FB393F1	14
ARFCOGY1187FB454B4	ARVMFE61187B992463	13
ARGRIHK1242077F57F	AROIHOI122988FEB8E	13
AREWQSE1187B9AEC6C	ARP0VU91187B9AE375	13
AR5OH1V1187FB574C3	ART3O5Z1187B9AB043	13
ARUQ6301187FB54EBA	ARX9YIP1187B98A656	13
AR0GYPW1187B994430	AROIHOI122988FEB8E	13
AR6F6I21187FB5A3AA	ARU9KWP1187B98B2A7	14
ARKU3Z61187FB51DCA	ARXOTQH1187FB57084	16
ARMDBW21187FB37126	ARX9YIP1187B98A656	14
AROIHOI122988FEB8E	ARXXPSW1187FB3CE47	13
AR1ZYLH1187B98C159	ARSQDUN1187B98D7D7	16
ARFCUN31187B9AD578	ARUKN9H1187B9B71C8	15
AR8B1WY1187FB38366	ARX9YIP1187B98A656	15
ARS26BQ1187B99466D	ART6QCS1187FB40CBD	13
ARELDJG122988F304D	AROIHOI122988FEB8E	13
AR7Y6JX1187FB4D9B3	ARD3LXU1187B9ABFC5	15
AR93RTI1187B98ECFB	ARN7OQ21187FB5A6B3	13
AR3KXHI1187FB3A8BF	ARC1CJB1187B99FCA4	13
ARDVZTE1187FB5A0A1	ARYKCQI1187FB3B18F	14
ARJ8PZJ1187B99314F	AROBHK51187B9AD82B	13
ARAJPHH1187FB5566A	ARDY3451187B9A0226	14
AR198711187B9AD09F	AR9W3X91187FB3994C	18
AR0X3JJ1187FB3A9A7	ARB1KC91187FB38B13	16
AR0O3AV1187FB4D030	ARNDB1X1187B990AA0	14
ARD3LXU1187B9ABFC5	ARDK6QW1187B9B8D85	14
AR03BDP1187FB5B324	ART4QZC1187FB51612	17
ARE8GLF1187FB52532	ARH3S5S1187FB4F76B	15
AR6AGJV1187FB504BA	ARI4S0E1187B9B06C0	14
AR0S7TA1187FB4D024	AR65K7A1187FB4DAA4	14
ARVG4OK1187B9B6BD3	ARVN9FZ1187FB393F1	19
ARIRD6J1187FB5A98C	ARRTI6E1187B9A661D	13
AROIHOI122988FEB8E	ARVVLMZ11F50C50605	13
AR1DLF21187FB3CBF0	ARFCOGY1187FB454B4	13
AR6EVQA1187B9AA1DF	ARAZCWP129462A97F1	13
ARSHZBZ1187B98A445	ART3O5Z1187B9AB043	16
ARLPXFQ12131B4B560	AROIHOI122988FEB8E	13
ARH0NCL1187B99B41A	ARWI6LR1187FB46E9F	13
AR4B3RX1187B9A868A	ARSZIBW1187B994053	13
ARGBR4I1187B99D073	ARSW5F51187FB4CFC9	14
ARH20DG1187B9925D0	AROIHOI122988FEB8E	13
AREWQSE1187B9AEC6C	ARF3PG41187FB4B0B4	16
ARNHMFD1187FB3B3F6	ARX9YIP1187B98A656	15
ARMPQIE1187FB3D4EB	ARVUN5F1187FB4CCC7	13
ARKZXSQ1187B9AC9F3	ARLR9U31187B9A71AD	14
ARI8ECO119B3403C34	AROIHOI122988FEB8E	13
AR6HAZT1187FB4A3AA	ARJ9DSA1187B990E00	13
AR0CDSK1187FB52ED6	ARYV1OT1187B9B4C8E	13
AR0569B1187B9A4036	ARJ9DSA1187B990E00	13
ARH6W4X1187B99274F	ARJ7KF01187B98D717	17
AR78ZID1187B9B31ED	ARX5XTP1187FB3D8CC	16
ARNNVFJ11F4C8456C4	AROIHOI122988FEB8E	13
ARKCHSB122988FCAAD	AROIHOI122988FEB8E	13
AR7C6G11187B9B4C1E	ARKSZW81187B9B695D	16
AR8I87E1187FB57E2E	ARBB58Y1187B9B621B	13
ARKSZW81187B9B695D	ART4QZC1187FB51612	15
ARPFHN61187FB575F6	ARRH63Y1187FB47783	15
ARYFXQ21187FB4DAEF	ARZCHLM1187FB495C3	14
AR243ZT1187B9A98D2	ARA8O8L1187B9AD61D	13
AREWQSE1187B9AEC6C	ARV8DLF1187B9A4C7C	13
ARNGKJJ11E2835D6F5	AROIHOI122988FEB8E	13
AR189B91187B9B8D9C	ARL3VGT1187FB40E8E	15
AROLNOH1187FB39845	ARRH63Y1187FB47783	15
AR5TQ1T1187FB59492	AR78ZID1187B9B31ED	15
AROIHOI122988FEB8E	ARWBLIO11EB9C81D1B	13
AR93D4D1187FB3ACAD	ARJ9DSA1187B990E00	14
AR8RXRI1187FB4104B	ARRJ3UC1187FB579D7	14
ARNNGZT11F50C505F8	AROIHOI122988FEB8E	13
AR78ZID1187B9B31ED	ARIRD6J1187FB5A98C	23
ARHZ1CY1187B994878	AROIHOI122988FEB8E	13
AR6CLFP1187B9ACB94	ARPBNLO1187FB3D52F	16
ARKFYS91187B98E58F	ARKYI5T1187B99334F	13
AR0TY0A1187B9A6F73	AROIHOI122988FEB8E	13
AR4GAFY1187B9B639D	ART3O5Z1187B9AB043	16
AR4BDNG1187FB44870	AR9W3X91187FB3994C	16
AROIHOI122988FEB8E	ARQVGGK12086C132DF	13
ARFCOGY1187FB454B4	ARMD0G81187B99A519	14
ARIH5GU1187FB4C958	ARSW5F51187FB4CFC9	13
AR10USD1187B99F3F1	AROBHK51187B9AD82B	14
ARLHKAM11EB9C81F43	AROIHOI122988FEB8E	13
ARF2EHS1187B994F4E	ARVN9FZ1187FB393F1	19
ARC8CQZ1187B98DECA	ARML3X41187FB35F2E	13
AR1RMYB1187FB5A59E	ARE8GLF1187FB52532	13
ARMPRI31187FB4F7D9	ARYXGST1187B991071	13
ARB4ROA1187B9ACAEC	ARIRD6J1187FB5A98C	16
ARPDVPJ1187B9ADBE9	ARRJ3UC1187FB579D7	17
AROIHOI122988FEB8E	ARTBHYK122988EFB03	13
ARB78VW1187B98F81C	ARD3ICK1187B9A56C9	14
ARD3ICK1187B9A56C9	ARUBX2Y1187B99CD25	16
ARNWBIU11F50C505F4	AROIHOI122988FEB8E	13
AR02IU11187FB513F2	ARZCHLM1187FB495C3	13
ARKFYS91187B98E58F	ARSVRVA1187B99228A	13
AR3QRJ91187B98E4C2	ARW63KF1187B98AC48	14
ARH6W4X1187B99274F	ARR3ONV1187B9A2F59	18
AR0RCMP1187FB3F427	AR0X3JJ1187FB3A9A7	16
AR12F2S1187FB56EEF	ARUKN9H1187B9B71C8	19
ARAZCWP129462A97F1	ARJ2PMY1187FB5B563	13
ARDVZTE1187FB5A0A1	ARMH10M1187FB4184F	15
AR12F2S1187FB56EEF	ARDIBRT1187B9AF176	15
AR03BDP1187FB5B324	ARWK5QH1187B9A9B7F	13
ARHNYWR11F4C8456C7	AROIHOI122988FEB8E	13
ARTWPGO1187FB52DC3	ARVUN5F1187FB4CCC7	13
AR0S7TA1187FB4D024	ARBEOHF1187B9B044D	14
AR8V1WA1187B9AD9E9	ARH6W4X1187B99274F	14
ARNRTFR1269FCD155C	AROIHOI122988FEB8E	14
ARBEOHF1187B9B044D	ARXPPEY1187FB51DF4	19
ARDXWVZ1187B9B52F1	AREJ5K11187B993F5F	13
ARSQDUN1187B98D7D7	ARX9YIP1187B98A656	21
AR78ZID1187B9B31ED	ARSTA431187B9A3599	15
AR5MK521187B98E0B8	ARMG34A1187FB548A8	13
AR7GOK91187FB455F5	ARW63KF1187B98AC48	15
AR13CXU1187B9AD30A	ARD3LXU1187B9ABFC5	14
ARD7U0O1187FB5531A	ARHTV1S1187FB547F8	14
AR7C6G11187B9B4C1E	AROF4LP1187FB41C51	18
ARHSYTC11F50C505F9	AROIHOI122988FEB8E	13
ARAIABB1187B9AC6E2	ARDGB6U1187FB3AD07	13
ARN1ZHJ1187B98F1B2	AROIHOI122988FEB8E	13
AR4GAFY1187B9B639D	ARFONSP11F50C4D175	13
ARA1UU51187FB5A70B	ARD3LXU1187B9ABFC5	15
ARFCUN31187B9AD578	ARLR9U31187B9A71AD	16
AR9OLFX1187B9A5762	ARVQ4QM1187B98AD95	14
AROIHOI122988FEB8E	ARSXEMM11F50C4DF80	13
ARCLFWR1187B9AE7B2	ARE8GLF1187FB52532	14
ARUUXNF1187B98FB36	ARYJ6RP1187B9B3827	14
ARFCUN31187B9AD578	ARUGU0E1187B9B30F6	13
AR0X3JJ1187FB3A9A7	ARF4V431187FB3AA41	14
AR32ETX1187B9A792F	ART3O5Z1187B9AB043	15
AR7GOK91187FB455F5	ARZBYDY1187FB46DD7	17
ARD7U0O1187FB5531A	ARQ4OZM1187B991229	13
AR46CAD1187FB4D84B	AR7Y6JX1187FB4D9B3	13
ARB336A1187B9A4583	ARLR9U31187B9A71AD	14
ARQC4R31187B9A0D88	ARWI6LR1187FB46E9F	14
ARC8CQZ1187B98DECA	ARZENOX1187B98A645	13
AR9JNFU1187B9B9868	ARV6QHT1187FB5537A	13
AR1ZKBE1187FB53629	ARGY9FW1187B991C7D	14
ARUMGZN1187FB37125	ARX9YIP1187B98A656	13
ARDCFNZ1187FB3DDB0	AROF4LP1187FB41C51	14
ARBEOHF1187B9B044D	ARN7POH1187B9B301E	13
ARE36MM1187B991E50	ARN7OQ21187FB5A6B3	13
ARLR9U31187B9A71AD	ARS1OWB1187B99EEAD	15
ARNLO5S1187B9B80CC	AROY6XW1187B991121	16
ARNDL191187FB51583	ART3O5Z1187B9AB043	16
ARB336A1187B9A4583	ARFCUN31187B9AD578	14
AROLNOH1187FB39845	ARSQDUN1187B98D7D7	15
ARE2XN81187B98BB83	ARVEJ9M1187FB4DC44	13
AROIHOI122988FEB8E	ARXGQIW1187B990E53	13
ARLXTJM11F50C50600	AROIHOI122988FEB8E	13
ARD3LXU1187B9ABFC5	ARM7EDF1187B9B3FA1	15
ARD3LXU1187B9ABFC5	ARJG2ID1187B9A767E	13
ARB45GQ1187B98D2B4	ARCCRTI11F4C845308	15
ARJDCIO1264D0E3673	AROIHOI122988FEB8E	13
AR7GOK91187FB455F5	AROGAPH1187B98CF9C	13
ARENLSD1241B9C71B9	AROIHOI122988FEB8E	13
ARF3GX71187FB3EB66	ARVNGA71187FB3C107	14
AR0D6EL1187B9AF46B	ARX9YIP1187B98A656	13
AR0X3JJ1187FB3A9A7	ARQCFI11187FB5AE43	14
ARN2ZKL1187FB3972B	ARUSOMY1187FB4D3B4	13
ARSEC9Q1187B98912D	ART3O5Z1187B9AB043	13
AR6PJ8R1187FB5AD70	ARLAWDD1187FB48367	14
AR2SGQW1187B9B9E7C	ARX9YIP1187B98A656	15
AR0S7TA1187FB4D024	ARKSZW81187B9B695D	13
AR2SMD91187B9B0582	ARE8GLF1187FB52532	15
AR10USD1187B99F3F1	ARZWK2R1187B98F09F	14
ARIRD6J1187FB5A98C	ARVUN5F1187FB4CCC7	21
ARAKARO1187B9A1EB6	ARXPPEY1187FB51DF4	13
ARRH63Y1187FB47783	ARTH9041187FB43E1F	17
ARF3GX71187FB3EB66	ARYJSY01187B9B7C65	14
AR6IJJ41187B98C872	ARQHLIO1187B98AA6A	13
AR7C6G11187B9B4C1E	ARXPPEY1187FB51DF4	18
AR8AVU31187FB42175	ART3O5Z1187B9AB043	14
AR52EZT1187B9900BF	AR65K7A1187FB4DAA4	14
AR12F2S1187FB56EEF	ARMI8BW1187FB57B2E	17
AREP6EE1187B9A6DA3	AROIHOI122988FEB8E	13
AR0S7TA1187FB4D024	AR7C6G11187B9B4C1E	13
AR3PN3R1187FB4CEBD	ARIRD6J1187FB5A98C	15
ARMI8BW1187FB57B2E	ARNLO5S1187B9B80CC	14
AROIHOI122988FEB8E	AROSGJG11F4C84764C	13
ARD4C1I1187FB4B0C3	ARH6W4X1187B99274F	15
AR02YGA1187B9B8AC4	ARO0R521187B98A2D1	14
ARB336A1187B9A4583	ARS1OWB1187B99EEAD	13
ARD5K161187B9AC784	ARK8EHO1187B9B71D1	13
ARAOBIZ1187FB38574	ART3O5Z1187B9AB043	13
ARD3LXU1187B9ABFC5	ARNFTGS1187B9A465F	13
AR9OLFX1187B9A5762	ARPFKK81187B99878D	14
ARKQN8X1187B99221C	ARYF20K1187B9B76BD	14
ARDSWIE1187FB39056	ARX9YIP1187B98A656	16
AR1N6N61187FB4E25E	ARZCHLM1187FB495C3	15
ARDY3451187B9A0226	ARGKD4W1187B990E04	15
AR6W9T51187B9A8B8E	ARD7U0O1187FB5531A	13
AR97EHA1187B98AD5F	ARDK0551187FB5AC48	13
AR9A5TK1187B9AD07F	ARE8GLF1187FB52532	14
AR03BDP1187FB5B324	AR7C6G11187B9B4C1E	18
ARD7U0O1187FB5531A	AROVSYC119B3403921	13
ARH0Z131187B9B69E9	ARX9YIP1187B98A656	17
AROIHOI122988FEB8E	ARSKPIJ11F50C50608	13
AR86QIW1187B9AD8F0	AREWQSE1187B9AEC6C	13
ARR3ONV1187B9A2F59	ARVG4OK1187B9B6BD3	14
ARRT66G1187FB3DDF9	ART3O5Z1187B9AB043	16
ARIRD6J1187FB5A98C	ARPTJHV11F4C83EF53	19
ARM7EDF1187B9B3FA1	ARNLO5S1187B9B80CC	15
ARSL5SP1187B9A7AE0	ARX9YIP1187B98A656	15
ARKH5T11187B9AA08F	AROIHOI122988FEB8E	13
ARH3S5S1187FB4F76B	ARSW5F51187FB4CFC9	13
AR7BMMV1187FB5B2D7	ARFONSP11F50C4D175	14
AREJXK41187B9A4ACC	ARZBYDY1187FB46DD7	15
AR03BDP1187FB5B324	ARJGIOD1187B9AE920	13
AR1OBRC1187FB59AD4	ARLSF8H1187B9A76B0	14
AR7C6G11187B9B4C1E	ARBEOHF1187B9B044D	17
AR65K7A1187FB4DAA4	ARKSZW81187B9B695D	17
ARD3LXU1187B9ABFC5	ARUSOMY1187FB4D3B4	17
ARE8GLF1187FB52532	ARN5NHX1187FB4F755	14
ARGDENL1250940EE3B	AROIHOI122988FEB8E	13
AR2KSTE1187FB57A36	ARCCRTI11F4C845308	14
AR6892W1187B9AC71B	ARR3ONV1187B9A2F59	14
ARHZXAT1187B98D0E4	AROIHOI122988FEB8E	13
ARDY3451187B9A0226	ARQXAUH1187B9BA010	14
AR9W3X91187FB3994C	ARN0DMU1187FB5B63A	17
AROIHOI122988FEB8E	ARXQA3G1187B9A9983	13
AR02DB61187B9A0B5E	ARJIE2Y1187B994AB7	13
AR0O3AV1187FB4D030	AR7Y6JX1187FB4D9B3	15
ARKFYS91187B98E58F	ARR575U1187B98FB97	14
AR0O3AV1187FB4D030	ARHL8SP1187B98F8A3	13
ARG3UX61187B9AC05A	ARSW5F51187FB4CFC9	13
